책 이름,작가,장르,ISBN,책 소개,,
이게 되네? 챗GPT 미친 활용법 51제,오힘찬,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
컴퓨터입문/활용",9.79119E+12,"★ 5시간 치를 1시간만에, 5일 치를 하루만에, 다섯이서 할 일을 혼자서★ 5배 더 빠르게, 5배 나은 퀄리티로, 5배 더 저렴하게 일한다!★ 오대리의 챗GPT 500% 미친 활용법 대공개
뒤쳐지지 마라, AI에 대체되지 마라. 내일 모레면 AI에 대체될까 두려운가? 미래는 AI 코워킹 시대(co-working era). AI를 잘 활용하는 사람은 살아남고, 그렇지 못하면 AI에 대체된다. 슈퍼 신인이 단돈 20달러에 고용되고 있다. 슈퍼 신인의 사수로서, 팀장으로 슈퍼 AI 코워커로 다섯 단계 업그레이드되는 '오대리 챗GPT 500% 미친 활용법' 대공개! 오대리와 함께 5배 더 빠르게, 5배 나은 퀄리티로, 5배 더 저렴하게 일하자!",,
"생성형 AI 투닝, 수업의 터닝포인트가 되다",툰스퀘어,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
컴퓨터입문/활용",9.7912E+12,"“생성형 AI 투닝, 수업의 터닝 포인트가 되다!”
빠르게 변화하는 시대에 맞춰 교육도 변화하고 있습니다. 일상 속에 스며든 AI, 그 중 생성형 AI에 대한 교육이 확산되는 오늘날, 우리 아이들은 생성형 AI와 함께 직면한 문제들을 주도적으로 해결하고, 자신의 생각을 표현하는 역량을 길러야 합니다. 투닝은 해당 책을 통해 생성형 AI 투닝이 가진 교육적 가치를 공유하고, 우리 학생들의 희망찬 미래와, 끊임없이 AI 교육을 연구하는 교사들의 미래 교육을 지원하고자 합니다. 투닝은 학교 맞춤형 서비스로, 클릭만으로 학생들이 본인의 상상을 표현하고 스스로 문제에 대한 답을 탐색할 수 있도록 합니다. 〈생성형 AI 투닝, 수업의 터닝 포인트가 되다 vol.1 초등편 / 중등편〉은 투닝의 기본 사용법부터 활용법까지 더 안전하고 효과적으로 적용할 수 있도록 가이드를 제시하며, 생성형 AI에 대한 더 안전한 교육을 희망하는 분께 든든한 이정표가 되어줄 것입니다.",,
세컨드 브레인을 구축하는 제텔카스텐 & 옵시디언,생산적생산자,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
컴퓨터입문/활용",9.79116E+12,"지식을 체계적으로 메모하고 창의적으로 연결하라!똑똑한 메모, 경이적인 성과. 당신의 지식관리 방법을 혁신한다.
20세기 최고 사회학자 중 한 명인 니클라스 루만이 사용한 제텔카스텐(Zettellkasten)의 개념과 새로운 메모 앱인 옵시디언(Obsidian)의 사용법을 소개한다. 아이디어를 연결하고 새로운 영감을 얻도록 돕는 제텔카스텐 메모법과 그것을 디지털 세상에서 구현한 옵시디언은 이제 일잘러로 진화하고 싶은 직장인이라면 알아야 프로그램으로 떠오르고 있다.  이 책은 2024년 현재 옵시디언의 최신 업데이트 내역을 반영하고 수십 개가 넘는 옵시디언 메뉴의 상세하고도 친절한 우리말 해설을 담았다. 연구자, IT 개발자, 프리랜서 등 다양한 분야의 직종에서 성공적으로 활용되고 있는 최신 메모 앱을 초보자도 쉽게 따라 해볼 수 있도록 상세한 가이드를 역할을 해줄 것이다. 또 저자가 만들어 제공하는 템플릿에 나의 정보와 지식들을 입력하고 그 지식들이 연결돼 새로운 아이디어를 만들어내는 과정을 살피다 보면 놀라운 성과를 낼 수 있을 것이다.",,
동영상편집 스타되기,교재개발팀,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
어린이컴퓨터/코딩",9.79119E+12,"곰믹스 프로를 이용하여동영상 콘텐츠 기획부터 편집까지 다양한 기능을쉽게 배울 수 있는 교재입니다.
★ 재생 속도, 자막, 이미지, 영상 전환, 필터, 오버레이 클립, 배경음악, 효과음 등의 필수 기능을 다양한 예제로 익힙니다★ 콘텐츠를 기획하고 동영상 콘티를 작성한 후에 액괴 만들기, 게임 해설, 먹방ASMR, 택배 언박싱 영상, 광고 영상 등을 직접 만듭니다.★ 교재 맨 뒤쪽에 유료 프로그램인 곰믹스 프로를 90일 동안 사용할 수 있는 쿠폰이 포함되어 있습니다.",,
모두가 할 수 있는 앱 인벤터로 11개 인공지능 앱 만들기,박지숙,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
컴퓨터입문/활용",9.79119E+12,"기존의 예제 중 과일 분류 인공지능 앱 만들기 등 최신 기능을 반영한 앱 만들기 예제로 교체 등 더 알찬 내용을 담은 〈앱인벤터 블록 코딩으로 11개 인공지능 앱 만들기〉 개정 2판이 새로 나왔다!      이 책은 앱 인벤터로 인공지능, 머신러닝 기반의 11개 앱 만들기를 통해 인공지능의 원리를 재미있고 체계적으로 배울 수 있도록 알차게 구성하였다. 초중고/대학생 모두가 할 수 있는 앱인벤터 블록 코딩으로 11개 인공지능 앱을 직접 만들며 자연스럽게 인공지능과 머신러닝의 원리를 이해한다. 이 책은 앱인벤터 기초 기능을 익힌 후 총 11개 인공지능 앱을 주제와 난이도에 따라 4단계 구분하여 직접 만들어본다.▶ 1단계 : 앱 만들기 시작하기   -  사진찍고 메모하는 앱 만들기 (안드로이드 / 아이폰 공통 구동 예제)-  Shake It~ 흔글기 게임 앱 만들기 (안드로이드 / 아이폰 공통 구동 예제)-  영어 단어는 나에게 맏겨! 음성 인식 번역 앱 만들기 ▶ 2단계 : 인공지능 맛보기 앱 만들기- 대화하는 채팅봇 인공지능 앱 만들기 - 음성인식 계산기 인공지능 앱 만들기 ▶ 3단계 : 인공지능 앱 만들기- 사물인식 영어학습기 인공지능 앱 만들기 - 두근두근 보물찾기 인공지능 앱 만들기 - 마스크 착용 판별 인공지능 앱 만들기 ▶ 4단계 : 머신러닝 인공지능 앱 만들기- 과일 분류 인공지능 앱 만들기 - 위키백과를 이용한 “인공지능 무엇이든 물어보세요” 앱 만들기예제 소스 코드, 저자에게 질문하는 방법은 “4~5쪽”을 참고한다.",,
세컨드 브레인은 옵시디언,시안,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
컴퓨터입문/활용",9.79119E+12,"★ 생각을 연결하고 지식을 확장하라!★ 조회수 60만! 생산성 유튜버 시안 저자의 노하우를 가득 담았습니다★ 기초부터 심화까지 단 한 권으로 옵시디언 200% 써먹기
머릿속에 떠도는 아이디어들은 잠깐 떠올랐다가 금방 흩어져버립니다. 만약 여러분에게 황금 같은 아이디어가 떠올랐다가 그냥 사라진다면 어떨까요? 그런 걱정을 하고 있는 여러분에게 옵시디언을 추천합니다.옵시디언이 지식 관리를 위한 강력한 도구라는 건 이미 알고 있는 사람들은 다 알고 있는 사실입니다. 다만 옵시디언의 입문을 방해하는 요소가 있다면 그건 바로 ‘우주선 패널 같은 복잡한 첫인상'이죠. 옵시디언을 시작하려는 사람에게 복잡한 메뉴와 기능은 오히려 선뜻 시작하기 어렵게 만드는 벽입니다. 그래서 옵시디언 200% 활용을 위한 완벽 가이드를 준비했습니다. 이 책은 옵시디언 왕초보를 위한 설치부터 기본 설정, 개발자를 위한 심화 기능까지 옵시디언을 활용해 두뇌를 200% 이상 활용할 수 있게 해줍니다. 또한 옵시디언 매뉴얼에서 그치는 것이 아니라 정보를 저장하고 정리하는 이론인 제텔카스텐과 PARA까지 함께 설명합니다. 한쪽에는 책을, 한쪽에는 옵시디언을 열고 따라하며 ‘옵시디언을 활용해 아이디어를 기록하고, 정리한다는 것이 무엇인지' 경험해보세요. 모든 실습 과정은 깔끔한 캡처 화면과 지시선으로 친절하게 안내합니다. 추가로 알아두면 좋은 내용, 심화 학습을 위한 추가 링크, 저자의 노하우도 꾹꾹 눌러 담았습니다. 시안 저자의 예제 볼트 파일을 제공하여 실습을 편하게 할 수 있도록 준비했습니다.이 책을 다 읽으면 옵시디언이 남의 도구가 아닌 나의 도구로 느껴질 것입니다. 이 책을 통해 여러분의 두 번째 뇌를 구축하기 바랍니다",,
브롤러 전략 가이드북,제이슨 리치,"국내도서
 > 
어린이(초등)
 > 
어린이교양
 > 
컴퓨터/코딩",9.79116E+12,"세계 최고 인기 모바일 게임 브롤스타즈의 전략 가이드북 대출간!액션감 넘치는 멀티플레이어 총격전을 경험할 준비를 하세요.
브롤스타즈는 모바일 앱 개발업체인 슈퍼셀에서 개발한 멀티플레이어 슈팅 게임입니다. 이 게임은 기존의 슈퍼셀 출시 게임처럼 비교적 익히기는 쉽지만 완전히 마스터하기에는 어려운 게임입니다.브롤스타즈 플레이어는 다양한 게임 모드를 돌아다니며 적을 공격하고 챌린지를 달성합니다. 게임에서 승리하려면 플레이어는 재빨리 반응하고 정확히 조준하며 전투에서 이길 수 있는 전략을 개발해야 합니다. 〈최강 브롤러 전략 가이드북〉은 브롤스타즈를 제대로 즐기는 데 꼭 필요한 책으로, 플레이어를 위한 중요한 게임 정보와 비결을 담고 있습니다.국내 최초 정식 한국어판 브롤스타즈 전략집!핵고수를 꿈꾸는 뉴비들의 필독서!〈최강 브롤러 전략 가이드북〉은 브롤스타즈 초보자와 경험자 모두를 위한 내용을 제공하고 있습니다. 게임을 처음 시작하는 이들을 위해 브롤스타즈 다운로드와 설치 방법을 상세히 다루었으며, 초보자와 경험자 모두에게 유용한 브롤러 기본 정보 및 특징 분석, 플레이어를 위한 35가지 전략 등 다양한 내용을 담았습니다. 뿐만 아니라 국내외 브롤스타즈 전문가 및 관련 웹 사이트를 소개하여 더 많은 내용을 플레이어가 공유할 수 있도록 하였습니다.",,
"일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기",강남석,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
인터넷입문/활용",9.79117E+12,"하마터면 야근할 뻔했다.구글 스프레드시트로 여유롭게 칼퇴하는 비법!
이미 익숙해진 엑셀을 놔두고 이제 와서 정말 구글 스프레드시트를 써야 할까요? 도구는 필요에 따라 바뀝니다! 구글 스프레드시트는 공동 작업, 클라우드, 배열 수식, 앱스 스크립트라는 뚜렷한 장점이 있고, 이로 인해 엑셀에서는 불가능하거나 번거로운 작업들을 쉽게 수행할 수 있습니다.이 책에서는 업무 프로세스가 급격하게 변하고, 빠른 속도가 요구되는 근무 환경에서 구글 스프레드시트를 효율적으로 사용하는 방법을 알아봅니다. 더 강력해진 구글 워크스페이스!이 책은 구글 워크스페이스의 다양한 최신 기능과 생성 AI를 활용한 업무 방법을 소개합니다. 외부 데이터를 불러오는 스마트칩, 개선된 배열 함수 등 더 강력해진 구글 스프레드시트의 새로운 기능으로 퇴근을 앞당길 수 있습니다.생성 AI를 활용한 새로운 시대의 업무 환경 체험하자업무를 자동화하고 싶은데 코딩을 몰라서 앱스 스크립트 작성이 어렵다고요? 걱정하지 마세요. 생성 AI의 도움을 받으면 누구나 스마트한 업무 환경을 구축하고 복잡한 일도 손쉽게 해치울 수 있습니다. 실무에 바로 적용할 수 있는 생성 AI 활용법으로 번거로운 일은 챗GPT에게 맡기고 저녁이 있는 삶을 되찾으세요.",,
초등 코딩 엔트리 무작정 따라하기,곽혜미,"국내도서
 > 
어린이(초등)
 > 
어린이교양
 > 
컴퓨터/코딩",9.79114E+12,"혼자서도 척척!초등 코딩 엔트리 무작정 따라하기▷ 소프트웨어 교육 의무화 완벽 대비 ▷ 엔트리 최신 버전 반영▷ 엄마, 아빠와 함께하는 코딩",,
데이터로 말한다! 퍼포먼스 마케팅,이은영,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
SNS/블로그/검색",9.79117E+12,"SNS 광고비로만 50억 원 돌리고 매출 성장 200% 달성한퍼포먼스 마케팅 실전 노하우
디지털 마케팅이 대세를 이루는 뉴미디어 시대의 핵심 마케팅 기법은 바로 ‘퍼포먼스 마케팅’이다. 퍼포먼스 마케팅은 외부 채널에서 유입된 소비자들의 구매여정을 단계별로 수치화하여 매출 성과를 극대화하는 마케팅 기법으로, 2015년부터 2021년까지 지난 6년간 가장 뜨겁게 주목받았다. 그리고 퍼포먼스 마케팅에 이어 그로스 마케팅, 최근에는 초개인화 마케팅으로의 변화를 맞이하고 있다. 이에 따라 현 시대를 살아가는 마케터에게 소비자의 움직임과 대세 광고 플랫폼의 이동을 읽어내는 능력은 필수가 되었다.이 책은 빠르게 바뀌는 뉴미디어 업계 현장에서 발로 뛴 저자의 실전 경험과 노하우를 담았다. 미디어커머스 스타트업 대표인 저자는 제품의 기획부터 제조, 마케팅, 유통, 사후관리까지 비즈니스 전 과정에서 데이터를 어떻게 활용하여 성과를 끌어냈는지 실무적인 팁을 제공한다. 특히 퍼포먼스 마케팅을 활용한 다양한 마케팅 캠페인 사례와 페이스북, 인스타그램, 구글 애널리틱스 운영 방법을 다룬다. 이를 통해 향후 디지털 마케팅의 방향은 무엇인지, 변화하는 미디어커머스 시장에서 어떻게 마케팅 전략을 세우고 대응해야 하는지 그 해답을 찾을 수 있다.",,
우당탕탕 파워포인트 2016으로 발표하기,교재개발팀,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
어린이컴퓨터/코딩",9.7912E+12,"파워포인트를 처음 접하는 학생들이재미있는 예제로 쉽게 배우는파워포인트 교재입니다.
★ 쉽게 따라할 수 있고 재미있게 학습할 수 있는 예제로 구성하였습니다.★? 각 차시별로 혼자서 직접 만들 수 있는 예제를 통해 실력을 키울 수 있습니다.★ 초등학교 교과과정과 연계된 예제를 통해 학습 효과를 높일 수 있습니다. ★ 액티비티를 제공하여 학교생활이나 실생활에 활용할 수 있습니다.",,
부모님을 위한 컴퓨터 무작정 따라하기,곽은지,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
컴퓨터입문/활용",9.79114E+12,"더이상 물어볼 필요 없어요!유튜버 ‘욜디’와 함께하는 세상 쉬운 컴퓨터 기초
컴퓨터 앞에 서면 막막해진다는 부모님을 위해 시작한 ‘욜디’의 컴퓨터 기초 강의, 이제는 컴맹 탈출을 위해 고군분투하는 우리 모두의 부모님을 생각합니다. 기초를 제대로 다지지 않는다면 컴맹에서 탈출할 수 없습니다. 첫걸음부터 탄탄하게, 컴퓨터 왕초보의 눈높이에 딱 맞춰 설명합니다. 모든 내용을 영상 강의로 무료 제공하므로 컴퓨터 활용법을 더욱 쉽게 익힐 수 있습니다.컴퓨터 기본 메뉴와 설정법을 익히고, 일상에 힘이 되는 기능을 배우며 자신감을 길러 봅시다. 카카오톡 활용법과 간단한 영상 편집 방법 등 컴퓨터 고수로 가는 길도 맛볼 수 있습니다.겁내지 말고 한 걸음씩 따라와 보세요.컴맹 탈출하는 그 날까지, 부모님을 위한 컴퓨터 무작정 따라하기가 함께합니다!",,
